CampaignID,SendDate,SendHour,AudienceSize,Subject,TopKeywords,OpenRate,ClickRate,ConversionRate,DeviceType,CustomerSegment,CampaignType
CMP17047,2024-06-21,16,1000,concept — livraison gratuite,"story, incontournable, revue, retour client, recommandation, collaboration",13.93,1.67,0.44,Mobile,New,Newsletter
CMP12483,2023-01-01,6,1000,meilleur — offres limitées aujourd’hui ❤️,"urgent, cadeau, instantané, avantage, profitez, coupon",21.43,3.64,0.02,Mobile,Returning,Promotion
CMP11825,2025-07-27,11,1000,vente : jusqu’à 10% de remise !,"anniversaire, stock, client, gagnez, exclusif, super",23.18,1.83,0.02,Mobile,New,Promotion
CMP20557,2024-01-19,15,500,retenter — offres limitées aujourd’hui,"cadeau retour, reprise, retour, absent, adhérent, invitation",4.68,1.4,0.0,Mobile,Inactive,Re-engagement
CMP11483,2025-04-19,0,10000,coupon : nos clients adorent,"duo, équipe, prix, soldes, réduction, code",3.46,1.4,0.94,Mobile,New,Promotion
CMP19290,2024-03-16,15,2000,revue — offres limitées aujourd’hui,"événement, nouveau, blog, sélection, produit, idées",17.33,0.45,0.23,Mobile,New,Newsletter
CMP19709,2023-11-10,9,2000,compte : découvrez nos nouveautés,"longtemps, prolongation, offre exclusive, votre espace, petit mot, personnalisé",2.59,0.1,0.09,Mobile,New,Re-engagement
CMP11650,2025-10-27,18,500,moment : jusqu’à 30% de remise !,"offre spéciale, tradition, été, repas, vacances, partage",20.78,4.84,0.62,Desktop,Inactive,Seasonal
CMP19786,2024-05-20,12,2000,inspiration du mois pour vous — 2 jours seulement,"créatif, innovation, lancement, bon plan, concept, partage",7.7,2.19,0.93,Mobile,New,Newsletter
CMP12813,2023-09-02,4,1000,repas : découvrez nos nouveautés ❤️,"hiver, spécial saison, magie, esprit, événement, repas",21.89,0.85,0.0,Mobile,Returning,Seasonal
CMP13704,2024-05-05,11,1000,équipe : nos clients adorent,"limité, cadeau, nouvelle, bon, super, instantané",3.82,0.1,0.7,Tablet,Inactive,Promotion
CMP16118,2024-10-10,10,500,rentrée sur nos best-sellers,"réveillon, rentrée, vacances, black friday, instant, papa",22.52,2.7,0.21,Mobile,New,Seasonal
CMP15042,2024-02-04,20,5000,bon sur nos best-sellers ❤️,"duo pack, rabais, soldes, réduction, meilleur, exceptionnelle",26.21,5.02,0.48,Mobile,Loyal,Promotion
CMP21208,2023-01-26,0,500,sélection — livraison gratuite,"édition limitée, style, découvrez, blog, décryptage, idées",11.53,0.1,0.05,Mobile,Returning,Newsletter
CMP17238,2023-12-23,2,20000,remise sur nos best-sellers ❤️,"offre, fidélité, nouvelle, meilleur, commande, super",8.08,0.98,0.0,Mobile,New,Promotion
CMP21505,2024-02-07,15,1000,satisfaction pour vous — 3 jours seulement,"vente, duo pack, cadeau, remise, gratuit, client",10.57,1.99,0.0,Mobile,New,Promotion
CMP21074,2025-08-29,23,10000,nouvelle chance : nos clients adorent,"souvenir, notre univers, programme, nouvelle chance, club, fidélité",0.5,1.5,0.61,Desktop,New,Re-engagement
CMP20996,2024-10-07,14,10000,prix — livraison gratuite,"fidélité, exceptionnelle, soldes, réduction, bundle, essai",21.24,0.1,0.01,Tablet,VIP,Promotion
CMP14999,2024-04-10,13,500,bestseller : jusqu’à 30% de remise !,"astuces, partage, lancement, story, bon plan, bestseller",17.2,0.46,0.11,Desktop,Returning,Newsletter
CMP18480,2025-10-30,18,5000,blog : découvrez nos nouveautés,"must-have, décryptage, partage, astuces, nouveau, collection",6.19,0.1,0.0,Mobile,New,Newsletter
CMP19267,2024-08-02,16,1000,partage : découvrez nos nouveautés,"vacances, hiver, repas, occasion, magie, chaud",24.69,4.51,0.0,Mobile,New,Seasonal
CMP18398,2025-07-07,20,5000,aujourd’hui sur nos best-sellers,"limité, panier, encore, abandon, oubliez, produit",20.43,0.71,0.08,Desktop,Inactive,Reminder
CMP12631,2023-05-29,11,5000,exclusif — offres limitées aujourd’hui,"duo, surprise, inédit, gagnez, offre, deal",20.0,4.67,0.01,Mobile,Returning,Promotion
CMP13131,2025-06-07,19,1000,incontournable : jusqu’à 40% de remise !,"bestseller, idées, story, concept, inspiration, incontournable",17.12,0.76,0.0,Mobile,Returning,Newsletter
CMP19583,2024-05-17,16,5000,duo : nos clients adorent,"bonus, offre, flash, coupon, craquez, équipe",16.75,2.6,0.0,Mobile,Loyal,Promotion
CMP18218,2023-01-17,2,1000,événement : jusqu’à 10% de remise !,"festif, offre spéciale, plage, printemps, fin d’année, partage",25.68,3.35,0.23,Mobile,Returning,Seasonal
CMP19276,2023-06-30,7,5000,sauvegardé : nos clients adorent,"quantité, paiement, commande, aujourd’hui, panier, stock",21.06,1.26,0.7,Mobile,New,Reminder
CMP13813,2023-12-25,14,10000,nouvelle : jusqu’à 15% de remise !,"duo pack, jusqu’à, duo, exceptionnelle, coupon, réduction",10.34,1.5,0.0,Mobile,Returning,Promotion
CMP15886,2025-01-17,23,20000,prolongation : jusqu’à 20% de remise !,"cadeau retour, réactivation, merci, absent, bonus fidélité, revenez",10.53,0.96,0.0,Desktop,Returning,Re-engagement
CMP15082,2025-08-28,23,1000,créatif : nos clients adorent,"newsletter, découvrez, design, story, éditorial, style",13.79,0.1,0.0,Mobile,New,Newsletter
CMP21815,2024-03-02,12,2000,commande : jusqu’à 15% de remise !,"essai, profitez, gagnez, bon, panier, anniversaire",19.24,2.69,0.57,Mobile,Returning,Promotion
CMP18823,2024-04-09,4,20000,printemps — offres limitées aujourd’hui,"black friday, déstockage, froid, instant, soleil, occasion",17.12,2.57,0.54,Mobile,New,Seasonal
CMP11217,2023-03-08,11,2000,profitez — ne manquez pas cette opportunité,"pack, code, meilleur, remise, inédit, flash",17.99,4.32,0.0,Mobile,Inactive,Promotion
CMP13991,2024-12-22,15,500,pack sur nos best-sellers,"surprise, vente, promo, spécial, duo, gratuit",14.99,2.87,0.0,Desktop,Inactive,Promotion
CMP21147,2025-04-02,14,500,instantané sur nos best-sellers,"offre, promo, exceptionnelle, bundle, semaine, avantage",19.12,5.21,0.0,Desktop,Loyal,Promotion
CMP17615,2023-03-27,16,2000,surprise sur nos best-sellers,"offre unique, rejoignez, compte, réactivation, événement, programme",0.5,0.1,0.43,Mobile,Inactive,Re-engagement
CMP20691,2023-04-20,2,20000,prix sur nos best-sellers,"réduction, urgent, satisfaction, baisse, rabais, surprise",16.14,2.55,0.86,Mobile,VIP,Promotion
CMP20184,2024-09-24,12,500,story sur nos best-sellers,"articles, design, collaboration, préférence, idées, moment",10.33,1.07,0.0,Mobile,Returning,Newsletter
CMP11683,2025-05-03,15,2000,exception — livraison gratuite,"gratuit, duo, inédit, exception, essai, commande",0.54,0.1,0.0,Mobile,Inactive,Promotion
CMP14574,2025-08-23,23,5000,lookbook — ne manquez pas cette opportunité,"highlights, revue, événement, incontournable, édition limitée, nouveau",15.18,0.14,0.0,Desktop,New,Newsletter
CMP21540,2025-07-17,18,5000,baisse : découvrez nos nouveautés,"gagnez, offre, gratuit, fidélité, bundle, soldes",31.36,2.19,0.33,Desktop,VIP,Promotion
CMP20750,2023-10-24,11,1000,newsletter — ne manquez pas cette opportunité,"thématique, préférence, sélection, bon plan, newsletter, créatif",17.0,0.1,0.84,Mobile,New,Newsletter
CMP21283,2024-09-20,11,1000,équipe : nos clients adorent,"nouvelle, équipe, cadeau, inédit, gratuit, bundle",18.41,1.79,0.3,Mobile,Returning,Promotion
CMP17562,2025-06-08,15,5000,rupture sur nos best-sellers,"vérifiez, profitez, reprendre, avant, finalisez, produit",16.03,1.66,0.0,Mobile,Returning,Reminder
CMP15903,2025-01-29,2,500,créatif sur nos best-sellers,"style, astuces, éditorial, guide, lancement, idées",4.28,0.1,0.0,Mobile,Inactive,Newsletter
CMP12582,2025-10-02,13,2000,super sur nos best-sellers,"livraison, bonus, semaine, fidélité, duo pack, spécial",15.93,2.14,0.73,Mobile,Returning,Promotion
CMP13002,2024-07-05,12,10000,rabais : nos clients adorent,"bon, cadeau, surprise, spécial, flash, offre",18.78,3.77,0.88,Mobile,VIP,Promotion
CMP20043,2024-10-10,2,1000,bonus — ne manquez pas cette opportunité,"remise, super, essai, bundle, semaine, client",1.71,0.1,0.14,Mobile,Inactive,Promotion
CMP12087,2024-04-17,6,5000,nouvelle chance : nos clients adorent,"encore là, réactivation, souvenir, bienvenue, merci, petit mot",0.5,0.1,0.0,Mobile,New,Re-engagement
CMP18928,2023-01-14,6,2000,créatif : découvrez nos nouveautés,"nouveautés, concept, découvrez, éditorial, bon plan, moment",3.98,0.1,0.11,Mobile,Inactive,Newsletter
CMP14148,2024-12-01,12,500,concept pour vous — 5 jours seulement,"histoire, guide, focus, préférence, revue, concept",14.36,0.84,0.0,Mobile,New,Newsletter
CMP10135,2023-08-14,6,2000,surprise : découvrez nos nouveautés,"rabais, duo pack, pack, remise, duo, deal",9.27,1.26,0.43,Mobile,New,Promotion
CMP19917,2024-07-15,0,10000,préférence — livraison gratuite,"bon plan, collection, innovation, partage, idées, lookbook",0.5,0.56,0.28,Desktop,New,Newsletter
CMP11743,2024-11-17,0,5000,profitez — offres limitées aujourd’hui,"panier, finalisez, produit, article, abandon, aujourd’hui",20.78,1.8,0.21,Desktop,New,Reminder
CMP17341,2023-12-03,16,1000,avantage pour vous — 3 jours seulement,"client, semaine, bon, code, coupon, essai",26.54,3.59,0.0,Mobile,Returning,Promotion
CMP20874,2024-12-07,7,5000,équipe sur nos best-sellers ❤️,"instantané, satisfaction, nouvelle, exception, craquez, duo pack",15.25,0.1,0.0,Mobile,Returning,Promotion
CMP13707,2024-01-20,7,5000,exception : nos clients adorent,"gagnez, anniversaire, gratuit, fidélité, craquez, client",9.23,0.1,1.14,Mobile,Returning,Promotion
CMP15470,2024-08-25,19,2000,tendances sur nos best-sellers,"nouveau, incontournable, exclusif, événement, éditorial, décryptage",8.18,0.97,0.0,Mobile,Inactive,Newsletter
CMP10700,2023-04-04,1,1000,limité — livraison gratuite,"bundle, meilleur, pack, limité, deal, surprise",4.17,0.69,0.61,Desktop,New,Promotion
CMP18557,2023-03-19,22,5000,offre — offres limitées aujourd’hui,"soldes, code, flash, commande, nouvelle, cadeau",21.21,5.8,0.27,Mobile,New,Promotion
CMP21715,2025-05-06,17,5000,moment : nos clients adorent ❤️,"tradition, décoration, noël, cyber monday, esprit, rentrée",12.92,0.46,0.59,Mobile,New,Seasonal
CMP11608,2025-06-01,11,500,gratuit : jusqu’à 25% de remise !,"jusqu’à, prix, prix, fidélité, équipe, gratuit",26.24,3.95,0.81,Desktop,VIP,Promotion
CMP15863,2024-12-31,15,2000,décoration — livraison gratuite,"noël, joie, collection été, plage, cadeau, tenue",18.23,5.22,0.81,Mobile,New,Seasonal
CMP10429,2025-06-12,14,10000,esprit : découvrez nos nouveautés,"réveillon, tradition, black friday, édition, esprit, collection hiver",15.29,1.64,0.0,Desktop,Inactive,Seasonal
CMP14023,2025-10-18,10,5000,concept : découvrez nos nouveautés,"revue, incontournable, lancement, recommandation, actualité, collaboration",19.41,0.1,0.0,Mobile,Returning,Newsletter
CMP16688,2024-06-13,2,2000,votre sélection : nos clients adorent,"aujourd’hui, rupture, oubliez, vérifiez, poursuivez, stock",9.07,3.85,0.82,Desktop,Returning,Reminder
CMP14100,2025-10-05,9,5000,bénéficiez — ne manquez pas cette opportunité,"achetez, paiement, avant, commande, terminer, vérifiez",16.6,0.68,0.0,Mobile,New,Reminder
CMP18875,2024-01-22,16,10000,inédit : jusqu’à 10% de remise !,"pack, prix, meilleur, exception, semaine, deal",15.91,2.54,0.0,Mobile,New,Promotion
CMP18514,2025-10-03,15,1000,incontournable — livraison gratuite,"décryptage, partage, nouveau, édition limitée, astuces, tendances",26.33,1.68,0.3,Mobile,VIP,Newsletter
CMP19649,2023-06-15,6,2000,remise : découvrez nos nouveautés,"inédit, essai, exceptionnelle, gagnez, duo pack, stock",6.78,4.16,0.0,Mobile,Inactive,Promotion
CMP12270,2024-06-07,8,1000,tendances : découvrez nos nouveautés,"bon plan, événement, innovation, recommandation, collaboration, exclusif",15.37,4.68,0.12,Mobile,Returning,Newsletter
CMP17692,2024-02-25,8,1000,collection : découvrez nos nouveautés,"sélection, guide, événement, produit, nouveau, interview",15.9,0.1,0.35,Mobile,New,Newsletter
CMP10070,2024-08-09,8,2000,thématique — livraison gratuite,"bon plan, blog, interview, collection, inspiration du mois, coulisses",18.59,1.21,0.47,Mobile,VIP,Newsletter
CMP15720,2023-02-08,11,5000,commande : découvrez nos nouveautés,"remise, promo, prix, gagnez, stock, meilleur",22.62,1.61,0.24,Mobile,Returning,Promotion
CMP20747,2025-08-18,6,500,craquez — ne manquez pas cette opportunité,"nouvelle, cadeau, essai, bonus, coupon, prix",23.28,0.42,0.0,Mobile,Loyal,Promotion
CMP20152,2024-04-01,1,500,attention : jusqu’à 15% de remise !,"revenez, terminer, quantité, encore, poursuivez, disponible",20.06,1.85,0.34,Mobile,Returning,Reminder
CMP21957,2025-05-22,16,500,lancement pour vous — 7 jours seulement,"revue, bon plan, recommandation, style, nouveau, retour client",12.98,2.1,0.0,Mobile,New,Newsletter
CMP19137,2024-06-16,6,10000,offre exclusive — livraison gratuite,"connectez, retour, revivez, compte, avantage, bienvenue",16.18,0.1,0.0,Mobile,VIP,Re-engagement
CMP12019,2023-10-17,18,500,événement — offres limitées aujourd’hui,"soldes, vacances, automne, valentin, moment unique, instant",34.03,1.66,0.14,Mobile,Returning,Seasonal
CMP19836,2023-01-22,15,1000,vérifiez sur nos best-sellers,"regardez, achetez, manquant, bénéficiez, vérifiez, attention",32.27,4.94,0.45,Mobile,VIP,Reminder
CMP21351,2023-08-18,14,500,nouvel an sur nos best-sellers ❤️,"soldes, fin d’année, collection été, bonne année, occasion, nouvel an",31.49,3.16,0.0,Desktop,VIP,Seasonal
CMP16702,2024-02-01,21,2000,décryptage — offres limitées aujourd’hui,"partage, bestseller, édition limitée, produit, retour client, découvrez",12.7,1.91,0.0,Mobile,Inactive,Newsletter
CMP14029,2025-03-11,2,500,soldes — livraison gratuite,"promo, cadeau, fidélité, craquez, satisfaction, duo pack",22.03,0.1,0.0,Desktop,VIP,Promotion
CMP17759,2023-01-30,14,500,black friday — livraison gratuite,"chaud, soldes, tenue, rentrée, joie, printemps",32.63,3.7,0.42,Mobile,Returning,Seasonal
CMP21690,2024-10-12,6,1000,froid sur nos best-sellers,"édition, printemps, papa, déstockage, hiver, fin d’année",28.84,5.75,0.86,Mobile,Loyal,Seasonal
CMP18483,2025-07-18,23,1000,froid — livraison gratuite,"valentin, tradition, bonne année, maman, moment unique, black friday",27.38,5.44,0.0,Mobile,New,Seasonal
CMP13858,2025-02-12,21,2000,flash — livraison gratuite,"panier, satisfaction, cadeau, exclusif, craquez, duo pack",10.62,1.31,0.0,Mobile,Returning,Promotion
CMP10744,2023-05-21,10,5000,collaboration — offres limitées aujourd’hui,"style, lookbook, tendances, préférence, produit, innovation",26.12,1.28,0.14,Mobile,Loyal,Newsletter
CMP11383,2023-01-31,2,5000,histoire — offres limitées aujourd’hui,"nouveau, collaboration, lookbook, incontournable, thématique, design",0.5,0.1,0.0,Mobile,New,Newsletter
CMP15643,2024-10-04,17,2000,promo : découvrez nos nouveautés,"remise, gratuit, offre, profitez, réduction, prix",15.89,2.13,0.58,Mobile,New,Promotion
CMP18685,2025-05-19,15,2000,personnalisé : nos clients adorent,"votre espace, encore là, merci, retour gagnant, revenez, bienvenue",10.12,2.87,0.35,Desktop,Returning,Re-engagement
CMP20613,2023-04-24,0,10000,anniversaire : jusqu’à 15% de remise ! ❤️,"esprit, spécial saison, célébrez, offre spéciale, collection été, printemps",11.03,0.29,0.03,Mobile,Inactive,Seasonal
CMP10149,2025-09-28,3,2000,cyber monday : nos clients adorent,"décoration, famille, nouvel an, célébrez, hiver, froid",16.78,0.13,0.58,Mobile,New,Seasonal
CMP21879,2024-07-16,17,20000,moment : nos clients adorent,"éditorial, guide, story, préférence, must-have, retour client",1.48,1.23,0.85,Mobile,Inactive,Newsletter
CMP10811,2025-10-07,9,2000,profitez — offres limitées aujourd’hui,"baisse, pack, soldes, anniversaire, gratuit, économie",23.05,1.67,0.28,Mobile,Returning,Promotion
CMP15900,2024-08-30,8,500,retour client — livraison gratuite ❤️,"concept, bon plan, newsletter, collection, édition limitée, collaboration",15.06,0.1,0.0,Mobile,Returning,Newsletter
CMP14328,2025-06-22,15,10000,aujourd’hui sur nos best-sellers,"produit, votre achat, réassort, limité, oubliez, disponible",15.72,0.7,0.7,Mobile,Returning,Reminder
CMP16373,2024-03-26,19,10000,offre : jusqu’à 10% de remise !,"surprise, craquez, jusqu’à, pack, gratuit, stock",29.51,3.19,0.0,Mobile,Returning,Promotion
CMP13995,2025-06-05,7,2000,design — offres limitées aujourd’hui,"story, recommandation, blog, bestseller, moment, concept",6.92,0.1,0.0,Desktop,Inactive,Newsletter
CMP14382,2024-12-12,6,500,actualité pour vous — 5 jours seulement,"highlights, design, concept, recommandation, thématique, produit",18.18,3.14,0.0,Desktop,New,Newsletter
CMP11730,2024-07-23,6,500,cyber monday sur nos best-sellers,"fin d’année, festif, événement, esprit, été, automne",24.54,4.26,0.61,Desktop,New,Seasonal
CMP14359,2025-09-17,0,2000,deal : jusqu’à 40% de remise !,"exceptionnelle, stock, deal, super, promo, meilleur",12.63,2.8,0.0,Desktop,Returning,Promotion
CMP15027,2024-11-30,16,5000,gagnez — offres limitées aujourd’hui,"panier, jusqu’à, surprise, stock, avantage, bon",22.24,1.39,0.0,Desktop,New,Promotion
CMP11793,2023-11-29,10,2000,bundle : découvrez nos nouveautés,"essai, cadeau, équipe, urgent, client, limité",18.03,0.1,0.21,Mobile,New,Promotion
CMP19079,2023-06-26,12,500,exclusif : découvrez nos nouveautés,"livraison, commande, flash, limité, coupon, satisfaction",7.35,0.1,0.93,Mobile,Inactive,Promotion
CMP15466,2025-08-22,1,2000,panier : découvrez nos nouveautés,"avant, expédition, panier, abandon, votre sélection, manquant",22.36,2.47,0.0,Desktop,VIP,Reminder
CMP21127,2023-05-04,18,2000,astuces — livraison gratuite,"recommandation, découvrez, retour client, édition limitée, concept, style",26.1,0.57,0.18,Tablet,VIP,Newsletter
CMP18486,2024-10-25,1,2000,terminer — offres limitées aujourd’hui,"manquant, promotion, vérifiez, attention, achetez, revenez",21.75,5.78,0.0,Desktop,New,Reminder
CMP11121,2024-03-27,15,2000,moment : nos clients adorent,"rentrée, black friday, fin d’année, célébrez, plage, illuminez",20.45,4.36,0.03,Mobile,New,Seasonal
CMP14618,2023-02-16,21,10000,attention — livraison gratuite,"finalisez, encore, commande, aujourd’hui, confirmation, profitez",19.48,2.21,0.0,Mobile,Returning,Reminder
CMP15937,2024-06-17,19,20000,achetez — offres limitées aujourd’hui,"vérifiez, aujourd’hui, temps, votre sélection, avant, quantité",33.58,4.58,0.86,Mobile,Returning,Reminder
CMP19527,2023-05-19,9,500,concept — livraison gratuite,"édition limitée, concept, collaboration, articles, bestseller, exclusif",24.63,3.61,0.78,Mobile,Returning,Newsletter
CMP12034,2024-06-03,13,500,style : jusqu’à 15% de remise !,"sélection, inspiration, éditorial, concept, lookbook, nouveau",3.08,1.52,0.54,Desktop,Inactive,Newsletter
CMP13126,2023-05-15,11,10000,soldes — livraison gratuite,"commande, flash, client, bundle, meilleur, fidélité",22.73,2.8,0.13,Desktop,Returning,Promotion
CMP21064,2025-06-16,3,1000,hiver — offres limitées aujourd’hui,"chaud, cadeau, papa, fin d’année, anniversaire, cyber monday",23.91,3.74,0.01,Mobile,Inactive,Seasonal
CMP21822,2024-11-02,13,10000,récompense — offres limitées aujourd’hui,"surprise, client, relance, souvenir, spécialement pour vous, communauté",9.85,1.11,0.0,Mobile,Returning,Re-engagement
CMP13827,2024-01-01,10,20000,offre — livraison gratuite ❤️,"coupon, bonus, client, duo, vente, spécial",18.75,1.02,0.09,Mobile,Inactive,Promotion
CMP14367,2024-07-31,8,1000,bonus — livraison gratuite,"instantané, pack, soldes, code, cadeau, limité",16.35,3.39,0.0,Mobile,New,Promotion
CMP15297,2023-07-26,19,10000,printemps sur nos best-sellers,"décoration, magie, rentrée, spécial saison, réveillon, soldes",29.72,0.1,0.6,Mobile,Returning,Seasonal
CMP13210,2023-11-01,8,500,retenter — livraison gratuite,"programme, bonus, connexion, encore là, retenter, reprise",5.73,2.1,0.51,Desktop,New,Re-engagement
CMP19928,2025-03-29,18,1000,rappel — ne manquez pas cette opportunité,"attention, produit, finalisez, réduction, en attente, expédition",26.77,5.31,0.0,Mobile,Returning,Reminder
CMP12698,2024-03-29,10,500,gratuit — offres limitées aujourd’hui,"anniversaire, flash, super, limité, client, craquez",27.61,1.83,0.0,Mobile,VIP,Promotion
CMP18045,2023-09-22,19,5000,manquant — ne manquez pas cette opportunité,"stock, quantité, poursuivez, aujourd’hui, achetez, paiement",13.87,0.51,0.05,Mobile,Returning,Reminder
CMP14279,2023-12-27,17,500,exception : jusqu’à 30% de remise !,"spécial, super, coupon, commande, craquez, soldes",16.24,0.22,0.0,Mobile,Inactive,Promotion
CMP10373,2024-11-30,14,5000,quantité : découvrez nos nouveautés,"en attente, temps, votre achat, bénéficiez, regardez, commande",20.67,2.85,0.31,Mobile,Returning,Reminder
CMP10624,2024-06-15,14,1000,interview sur nos best-sellers,"style, innovation, idées, recommandation, tendances, édition limitée",3.01,0.1,0.48,Desktop,New,Newsletter
CMP21617,2024-02-10,2,10000,bonus — offres limitées aujourd’hui,"gratuit, exception, duo pack, jusqu’à, inédit, promo",23.69,4.21,0.93,Desktop,VIP,Promotion
CMP16096,2024-03-06,1,2000,exclusif sur nos best-sellers,"offre exclusive, offre unique, communauté, compte, spécialement pour vous, avantage",0.5,0.1,0.0,Tablet,Inactive,Re-engagement
CMP14983,2023-03-23,11,2000,limité pour vous — 6 jours seulement,"jusqu’à, exception, code, pack, vente, panier",17.14,1.26,0.0,Mobile,Returning,Promotion
CMP13488,2025-01-27,17,20000,sélection : découvrez nos nouveautés,"revue, bestseller, design, nouveautés, produit, inspiration du mois",3.4,2.08,0.13,Mobile,New,Newsletter
CMP21979,2024-09-27,18,5000,sauvegardé : découvrez nos nouveautés,"regardez, poursuivez, achetez, réduction, panier, produit",19.03,5.26,0.39,Mobile,New,Reminder
CMP12036,2025-10-06,17,2000,réduction pour vous — 6 jours seulement,"remise, jusqu’à, fidélité, soldes, deal, avantage",12.48,2.55,0.0,Mobile,New,Promotion
CMP18388,2025-05-17,7,1000,préférence sur nos best-sellers,"actualité, interview, tendances, retour client, concept, focus",14.52,3.28,0.34,Mobile,Returning,Newsletter
CMP10747,2025-06-06,3,500,expédition — offres limitées aujourd’hui,"sauvegardé, encore, commande, aujourd’hui, attention, expédition",25.48,2.17,0.51,Mobile,Loyal,Reminder
CMP19037,2023-07-01,9,1000,stock pour vous — 6 jours seulement,"nouvelle, jusqu’à, offre, spécial, semaine, soldes",20.87,2.14,0.23,Mobile,New,Promotion
CMP19145,2023-11-05,13,2000,satisfaction — livraison gratuite,"fidélité, deal, exception, instantané, gratuit, semaine",1.07,0.1,0.41,Mobile,Inactive,Promotion
CMP14447,2023-02-04,19,500,recommandation — livraison gratuite,"interview, événement, décryptage, coulisses, produit, partage",12.47,0.27,0.48,Desktop,New,Newsletter
CMP21019,2023-09-10,1,1000,motivation — ne manquez pas cette opportunité ❤️,"bienvenue, votre espace, offre exclusive, rejoignez, motivation, souvenir",1.48,0.1,0.0,Mobile,Inactive,Re-engagement
CMP16743,2024-08-15,14,5000,hiver — ne manquez pas cette opportunité,"partage, fête, collection été, tenue, esprit, fin d’année",32.11,2.17,0.44,Mobile,Loyal,Seasonal
CMP17502,2025-10-27,0,2000,newsletter — offres limitées aujourd’hui,"partage, must-have, collaboration, style, guide, lancement",13.2,1.7,0.1,Mobile,New,Newsletter
CMP13100,2025-06-28,0,500,interview : nos clients adorent,"produit, astuces, design, histoire, actualité, nouveau",14.18,1.03,0.0,Desktop,Inactive,Newsletter
CMP13299,2025-09-03,13,1000,profitez sur nos best-sellers,"avantage, craquez, bonus, promo, duo, vente",11.97,2.56,0.16,Mobile,Returning,Promotion
CMP16245,2024-03-05,18,1000,incontournable — offres limitées aujourd’hui,"thématique, revue, guide, bestseller, astuces, design",11.09,0.54,0.31,Desktop,Inactive,Newsletter
CMP18292,2025-06-25,15,2000,incontournable : jusqu’à 30% de remise !,"actualité, articles, collection, tendances, sélection, innovation",9.79,2.51,0.0,Mobile,Inactive,Newsletter
CMP17566,2025-09-26,10,5000,bienvenue sur nos best-sellers,"fidélité, retour gagnant, programme, merci encore, club, redécouvrez",4.26,0.1,0.0,Desktop,Inactive,Re-engagement
